Postal,Beer,Wine,Clusters
AL,1.2,0.22,0
AK,1.31,0.54,1
AZ,1.19,0.38,6
AR,1.07,0.17,0
CA,1.05,0.55,3
CO,1.22,0.46,6
CT,0.89,0.59,3
DE,1.31,0.57,1
FL,1.26,1.0,4
GA,1.21,0.48,6
HI,1.08,0.25,0
ID,1.3,0.53,1
IL,1.05,0.92,4
IN,1.22,0.39,6
IA,1.09,0.25,0
KS,1.42,0.18,2
KY,1.18,0.14,0
LA,1.11,0.18,0
ME,1.5,0.28,2
MD,1.24,0.42,6
MA,0.97,0.37,3
MI,1.02,0.61,3
MN,1.1,0.31,0
MS,1.19,0.37,6
MO,1.41,0.11,2
MT,1.3,0.3,6
NE,1.66,0.45,7
NV,1.46,0.2,2
NH,1.57,0.58,7
NJ,1.72,0.84,8
NM,0.92,0.57,3
NY,1.37,0.32,2
NC,0.91,0.46,3
ND,1.1,0.34,6
OH,1.63,0.25,2
OK,1.28,0.26,0
OR,1.18,0.18,0
PA,1.28,0.49,1
RI,1.35,0.23,2
SC,1.1,0.53,3
SD,1.36,0.24,2
TN,1.53,0.22,2
TX,1.05,0.21,0
UT,1.42,0.28,2
VT,0.7,0.17,5
VA,1.36,0.63,1
WA,1.11,0.43,6
WV,1.09,0.51,3
WI,1.24,0.1,0
WY,1.49,0.31,2
WY,1.45,0.22,2
